;year;temp_diff;station_id;name;latitude;longitude;altitude
85;2016-01-01;0.7728571428571396;1078;Düsseldorf;51.296;6.7686;37
86;2017-01-01;1.0428571428571392;1078;Düsseldorf;51.296;6.7686;37
87;2018-01-01;1.7328571428571387;1078;Düsseldorf;51.296;6.7686;37
88;2019-01-01;1.4528571428571393;1078;Düsseldorf;51.296;6.7686;37
89;1931-01-01;-0.5674193548387105;1300;Eslohe;51.254;8.1565;351
90;1932-01-01;0.12258064516128986;1300;Eslohe;51.254;8.1565;351
91;1933-01-01;-0.6374193548387108;1300;Eslohe;51.254;8.1565;351
92;1934-01-01;1.07258064516129;1300;Eslohe;51.254;8.1565;351
93;1935-01-01;0.18258064516128947;1300;Eslohe;51.254;8.1565;351
94;1936-01-01;0.19258064516128925;1300;Eslohe;51.254;8.1565;351
95;1937-01-01;0.3425806451612896;1300;Eslohe;51.254;8.1565;351
96;1938-01-01;0.26258064516128954;1300;Eslohe;51.254;8.1565;351
97;1939-01-01;0.18258064516128947;1300;Eslohe;51.254;8.1565;351
98;1940-01-01;-1.54741935483871;1300;Eslohe;51.254;8.1565;351
99;1941-01-01;-0.6874193548387106;1300;Eslohe;51.254;8.1565;351
100;1942-01-01;-0.7774193548387105;1300;Eslohe;51.254;8.1565;351
101;1943-01-01;0.4625806451612897;1300;Eslohe;51.254;8.1565;351
102;1944-01-01;-0.0874193548387101;1300;Eslohe;51.254;8.1565;351
103;1945-01-01;;1300;Eslohe;51.254;8.1565;351
104;1946-01-01;;1300;Eslohe;51.254;8.1565;351
105;1947-01-01;0.5625806451612902;1300;Eslohe;51.254;8.1565;351
106;1948-01-01;0.8925806451612903;1300;Eslohe;51.254;8.1565;351
107;1949-01-01;0.8025806451612887;1300;Eslohe;51.254;8.1565;351
108;1950-01-01;0.3625806451612892;1300;Eslohe;51.254;8.1565;351
109;1951-01-01;0.4825806451612893;1300;Eslohe;51.254;8.1565;351
110;1952-01-01;-0.35741935483871057;1300;Eslohe;51.254;8.1565;351
111;1953-01-01;0.6425806451612903;1300;Eslohe;51.254;8.1565;351
112;1954-01-01;-0.31741935483871053;1300;Eslohe;51.254;8.1565;351
113;1955-01-01;-0.75741935483871;1300;Eslohe;51.254;8.1565;351
114;1956-01-01;-1.1874193548387106;1300;Eslohe;51.254;8.1565;351
115;1957-01-01;0.4625806451612897;1300;Eslohe;51.254;8.1565;351
